Subgrupo 1 ,Subgrupo 2,Componentes a trocar,especialidade sugerida,check search google/ML,Repair by FIXER,Repair by GARAGE,,
ELEMENTOS DE FIXAÇÃO,,PARAFUSO,TODAS,x,,x,,
,,PORCA,TODAS,x,,x,,
,,CLIP,TODAS,x,,x,,
,,ARRUELA,TODAS,x,,x,,
,,PRISIONEIRO,TODAS,x,,x,,
,,BRAÇADEIRA,TODAS,x,,x,,
,,LUVA DE FIXAÇÃO,TODAS,x,,x,,
,,PORCA COM ARRUELA  IMPERDÍVEL,TODAS,x,,x,,
,,ROLAMENTO,TODAS,x,,x,,
,,GRAMPO DE FIXAÇÃO,TODAS,x,,x,,
SISTEMA DE SUSPENSÃO,RODAS,CONTRAPESO PARA BALANCEAMENTO, PNEUS E RODAS,x,,x,,
,,RODA DE LIGA LEVE  ORIGINAL, PNEUS E RODAS,x,x,x,,
,,RODA DE AÇO ORIGINAL, PNEUS E RODAS,X,x,X,,
,,RODA DE AÇO MINI, PNEUS E RODAS,X,x,X,,
,,PARAFUSO DE FIXAÇÃO DA RODA, PNEUS E RODAS,x,x,X,,
,,PNEUS, PNEUS E RODAS,x,x,x,,
,,ALINHAMENTO,MECÂNICA,x,,x,,
,,BALANCEAMENTO ,MECÂNICA,x,,x,,
,,CAMBAGEM,MECÂNICA,x,,x,,
,DIANTEIRA,QUADRO DA SUSPENSÃO DIANTEIRA,MECÂNICA,x,,x,,
,,BUCHA TRASEIRA DO QUADRO ,MECÂNICA,,,x,,
,,BUCHA DIANTEIRA DO QUADRO ,MECÂNICA,,,x,,
,,MONTANTE CUBO DE RODA DIREITA,MECÂNICA,x,,x,,
,,MONTANTE CUBO DE RODA ESQUERDA,MECÂNICA,x,,x,,
,,CUBO DA RODA DIANTEIRA,MECÂNICA,x,,x,,
,,ROLAMENTO CUBO RODA DIANTEIRA,MECÂNICA,x,,x,,
,,TRAVA DO ROLAMENTO CUBO RODA DIANTEIRA,MECÂNICA,,,x,,
,,BRAÇO/BANDEJA SUSPENSÃO ESQUERDA,MECÂNICA,x,,x,,
,,BRAÇO/BANDEJA  SUSPENSÃO DIREITA,MECÂNICA,x,,x,,
,,BRAÇO/BANDEJA  SUSPENSÃO INFERIOR DIREITA,MECÂNICA,x,,x,,
,,BRAÇO/BANDEJA  SUSPENSÃO SUPERIOR ESQUERDA,MECÂNICA,x,,x,,
,,BRAÇO LONGITUDINAL ESQUERDO,MECÂNICA,x,,x,,
,,BRAÇO LONGITUDINAL DIREITO,MECÂNICA,x,,x,,
,,BUCHA DIANTEIRA DO BRAÇO/BANDEJA ,MECÂNICA,x,,x,,
,,BUCHA TRASEIRA DO BRAÇO/BANDEJA ,MECÂNICA,x,,x,,
,,PIVÔ SUPERIOR,MECÂNICA,x,,x,,
,,PIVÔ INFERIOR,MECÂNICA,x,,x,,
,,PROTETOR PIVO SUSPENSÃO DIANTEIRA,MECÂNICA,x,,x,,
,,PARAFUSO BANDEJA DIANTEIRA,MECÂNICA,x,,x,,
,,PARAFUSO DO PIVÔ,MECÂNICA,x,,x,,
,,PORCA DO PIVÔ,MECÂNICA,x,,x,,
,,PARAFUSOS DO CUBO DE RODA,MECÂNICA,x,,x,,
,,MOLA SUSPENSÃO DIANTEIRA,MECÂNICA,x,,x,,
,,CALÇO DE MOLA SUPERIOR,MECÂNICA,x,,x,,
,,CALÇO DE MOLA INFERIOR,MECÂNICA,x,,x,,
,,PRATO DE MOLA SUPERIOR,MECÂNICA,x,,x,,
,,PRATO DE MOLA INFERIOR,MECÂNICA,x,,x,,
,,GUARDA PÓ AMORTECEDOR DIANTEIRO,MECÂNICA,x,,x,,
,,SUPORTE DO GUARDA PÓ AMORTECEDOR,MECÂNICA,,,x,,
,,BATENTE DA HASTE DO AMORTECEDOR,MECÂNICA,x,,x,,
,,PRATO DO BATENTE DA TORRE,MECÂNICA,x,,x,,
,,BATENTE DA TORRE AMORTECEDOR ESQUERDO,MECÂNICA,x,,x,,
,,BATENTE DA TORRE AMORTECEDOR DIREITO,MECÂNICA,x,,x,,
,,ROLAMENTO DO BATENTE DA TOREE,MECÂNICA,x,,x,,
,,AMORTECEDOR DIANTEIRO ESQUERDO,MECÂNICA,x,,x,,
,,AMORTECEDOR DIANTEIRO DIREITO,MECÂNICA,x,,x,,
,,BARRA ESTABILIZADORA,MECÂNICA,x,,x,,
,,BUCHA BARRA ESTABILIZADORA,MECÂNICA,x,,x,,
,,BRAÇADEIRA DA BUCHA BARRA ESTABILIZADORA ESQ.,MECÂNICA,x,,x,,
,,BRAÇADEIRA DA BUCHA BARRA ESTABILIZADORA DIR.,MECÂNICA,x,,x,,
,,BIELETA DA BARRA ESTABILIZADORA ESQUERDA,MECÂNICA,x,,x,,
,,BIELETA DA BARRA ESTABILIZADORA DIREITA,MECÂNICA,x,,x,,
,TRASEIRA,KIT ROLAMENTO RODA TRASEIRA,MECÂNICA,x,,x,,
,,TAMPA DO CUBO DA RODA TRASEIRA,MECÂNICA,x,X,x,,
,,PONTA DE EIXO TRASEIRO,MECÂNICA,x,,x,,
,,EIXO TRASEIRO,MECÂNICA,x,,x,,
,,BUCHA EIXO TRASEIRO,MECÂNICA,x,,x,,
,,MOLA SUSPENSÃO TRASEIRA,MECÂNICA,x,,x,,
,,CALÇO DE MOLA SUPERIOR,MECÂNICA,x,,x,,
,,BRAÇO/BANDEJA INFERIOR DIREITA,MECÂNICA,x,,x,,
,,BRAÇO/BANDEJA SUPERIOR ESQUERDA,MECÂNICA,x,,x,,
,,BRAÇO LONGITUDINAL ESQUERDO,MECÂNICA,x,,x,,
,,BRAÇO LONGITUDINAL DIREITO,MECÂNICA,x,,x,,
,,BUCHA DIANTEIRA DO BRAÇO/BANDEJA ,MECÂNICA,x,,x,,
,,BUCHA TRASEIRA DO BRAÇO/BANDEJA ,MECÂNICA,x,,x,,
,,BUCHA DIANTEIRA DO FEIXO DE MOLA,MECÂNICA,,,x,,
,,BUCHA TRASEIRA DO FEIXO DE MOLA,MECÂNICA,,,x,,
,,CALÇO DE MOLA INFERIOR,MECÂNICA,x,,x,,
,,PRATO SUPERIOR MOLA TRASEIRA,MECÂNICA,x,,x,,
,,PRATO INFERIOR MOLA TRASEIRA,MECÂNICA,x,,x,,
,,BATENTE DA TORRE AMORTECEDOR,MECÂNICA,x,,x,,
,,BATENTE DA HASTE DO AMORTECEDOR,MECÂNICA,x,,x,,
,,BATENTE INFERIOR DE SUSPENSÃO ,MECÂNICA,x,,x,,
,,AMORTECEDOR TRASEIRO,MECÂNICA,x,,x,,
,,BARRA ESTABILIZADORA,MECÂNICA,x,,x,,
,,BUCHA BARRA ESTABILIZADORA,MECÂNICA,x,,x,,
,,BRAÇADEIRA DA BUCHA BARRA ESTABILIZADORA ESQ.,MECÂNICA,x,,x,,
,,BIELETA DA BARRA ESTABILIZADORA ESQUERDA,MECÂNICA,x,,x,,
,,BIELETA DA BARRA ESTABILIZADORA,MECÂNICA,x,,x,,
SISTEMA DE DIREÇÃO,VOLANTE E COLUNA,VOLANTE DIREÇÃO,MECÂNICA,x,,x,,
,,PORCA/PARAFUSODO VOLANTE DIREÇÃO,MECÂNICA,x,,x,,
,,COLUNA SUPERIOR DE DIREÇÃO,MECÂNICA,x,,x,,
,,COLUNA INFERIOR DE DIREÇÃO,MECÂNICA,x,,x,,
,,JUNTA ESCAMOTEÁVEL DA COLUNA DE DIREÇÃO,MECÂNICA,x,,x,,
,,ROLAMENTO DA COLUNA DE DIREÇÃO,MECÂNICA,x,,x,,
,,BORRACHA DE VEDAÇÃO COLUNA DE DIREÇÃO,MECÂNICA,x,,x,,
,CAIXA E COMPONENTES,CAIXA DE DIREÇÃO MECÂNICA S/ TERMINAIS,MECÂNICA,x,,x,,
,,CAIXA DE DIREÇÃO HIDRÁULICA S/ TERMINAIS,MECÂNICA,x,,x,,
,,CAIXA DE DIREÇÃO ELÉTRICA S/ TERMINAIS,MECÂNICA,x,,x,,
,,BUCHA DE FIXAÇÃO DA CAIXA,MECÂNICA,x,,x,,
,,CONJUNTO DE REPARO DA CAIXA HIDRÁULICA,MECÂNICA,x,,x,,
,,KIT DE BUCHAS DE REPARO DA CAIXA DE DIREÇÃO,MECÂNICA,x,,x,,
,,ROLAMENTO DO PINHÃO,MECÂNICA,x,,x,,
,,TERMINAL DE DIREÇÃO DIREITO,MECÂNICA,x,,x,,
,,TERMINAL DE DIREÇÃO ESQUERDO,MECÂNICA,x,,x,,
,,ARTICULAÇÃO AXIAL,MECÂNICA,x,,x,,
,,BARRA DE DIREÇÃO DIREITA,MECÂNICA,x,,x,,
,,BARRA DE DIREÇÃO ESQUERDA,MECÂNICA,x,,x,,
,,BARRA DE DIREÇÃO CENTRAL,MECÂNICA,x,,x,,
,,BRAÇO PITMAN,MECÂNICA,x,,x,,
,,BUCHA DA BARRA DE DIREÇÃO,MECÂNICA,x,,x,,
,,GUARDA PÓ DA ARTICULAÇÃO,MECÂNICA,x,,x,,
,SISTEMA HIDRÁULICO,BOMBA HIDRÁULICA/ELÉTRICA,MECÂNICA,x,,x,,
,,POLIA DA BOMBA,MECÂNICA,x,,x,,
,,SUPORTE DA BOMBA,MECÂNICA,x,,x,,
,,RESERVATÓRIO DE FLUÍDO,MECÂNICA,x,,x,,
,,TAMPA DO RESERVATÓRIO,MECÂNICA,x,X,x,,
,,SUPORTE DO RESERVATÓRIO DE FLUÍDO,MECÂNICA,x,,x,,
,,FLUÍDO DA DIREÇÃO,MECÂNICA,x,X,x,,
,,MANGUEIRA DE ALIMENTAÇÃO,MECÂNICA,x,,x,,
,,MANGUEIRA DE PRESSÃO,MECÂNICA,x,,x,,
,,MANGUEIRA DE RETORNO,MECÂNICA,x,,x,,
,,INTERRUPTOR/SENSOR DE PRESSÃO,ELÉTRICA,x,,x,,
,,CONEXÃO,MECÂNICA,x,,x,,
,SISTEMA ELÉTRICO,COLUNA/MOTOR ELÉTRICO,ELÉTRICA,x,,x,,
,,MÓDULO DA DIREÇÃO ELÉTRICA,ELÉTRICA,X,,X,,
,,SENSOR ANGULAR DA COLUNA,MECÂNICA,x,,x,,
,,SENSOR DA CAIXA DE DIREÇÃO,ELÉTRICA,X,,X,,
SISTEMA DE FREIOS,CILINDRO MESTRE,CILINDRO MESTRE,MECÂNICA,X,,X,,
,,REPARO DO CILINDRO MESTRE,MECÂNICA,X,,X,,
,,RESERVATORIO FLUÍDO,MECÂNICA,X,,X,,
,,TAMPA DO RESERVATÓRIO DE FREIO,MECÂNICA,X,,X,,
,,VÁLVULA EQUALIZADORA,MECÂNICA,X,,X,,
,,SERVO FREIO AMPLIFICADOR,MECÂNICA,x,,x,,
,,MANGUEIRA SERVO FREIO,MECÂNICA,x,,x,,
,,VÁLVULA DE RETENÇÃO DO SERVO FREIO,MECÂNICA,x,X,x,,
,,PEDAL DE FREIO,MECÂNICA,x,,x,,
,,CAPA DO PEDAL,MECÂNICA,x,X,x,,
,,SENSOR PEDAL DE FREIO,ELÉTRICA,x,X,x,,
,,MODULO FREIO ABS/ESP,ELÉTRICA,x,,x,,
,,SENSOR ABS DE RODA DIANTEIRA ESQUERDA,ELÉTRICA,x,,x,,
,,SENSOR ABS DE RODA DIANTEIRA DIREITA,ELÉTRICA,x,,x,,
,,SENSOR ABS DE RODA TRASEIRA ESQUERDA,ELÉTRICA,x,,x,,
,,SENSOR ABS DE RODA TRASEIRA DIREITA,ELÉTRICA,x,,x,,
,FREIOS DIANTEIROS,KIT DISCOS DIANTEIROS VENTILADOS,MECÂNICA,X,,X,,
,,KIT DISCOS DIANTEIROS SÓLIDOS,MECÂNICA,X,,X,,
,,PASTILHAS FREIO DIANTEIRO,MECÂNICA,x,x,x,,
,,PINÇA FREIO DIANTEIRO ESQUERDA,MECÂNICA,x,,x,,
,,PINÇA FREIO DIANTEIRO  DIREITA,MECÂNICA,x,,x,,
,,PLACA ESPELHO PROTETOR,MECÂNICA,x,,x,,
,,SUPORTE DA PINÇA,MECÂNICA,x,,x,,
,,KIT DE VEDAÇÃO DO PISTÃO,MECÂNICA,x,,x,,
,,KIT DE MOLAS ANTI-RUÍDO DA PINÇA,MECÂNICA,x,X,x,,
,,SANGRADOR DA PINÇA FREIO,MECÂNICA,x,,x,,
,FREIOS TRASEIROS,DISCO DE FREIO TRASEIRO ESQUERDO,MECÂNICA,x,,x,,
,,VÁLVULA EQUALIZADORA,MECÂNICA,x,,x,,
,,DISCO DE FREIO TRASEIRO DIREITO,MECÂNICA,x,,x,,
,,TAMBOR TRASEIRO,MECÂNICA,x,,x,,
,,CUBO TRASEIRO,MECÂNICA,x,,x,,
,,JOGO DE LONAS TRASEIRAS,MECÂNICA,x,,x,,
,,CONJUNTO 4 SAPATAS FREIO TRASEIRO,MECÂNICA,x,,x,,
,,PASTILHAS DE FREIO TRASEIRO,MECÂNICA,x,x,x,,
,,CILINDRO DE FREIO TRASEIRO DE RODA,MECÂNICA,x,,x,,
,,PINÇA TRASEIRA ESQUERDA,MECÂNICA,x,,x,,
,,PINÇA TRASEIRA DIREITA,MECÂNICA,x,,x,,
,,SUPORTE DA PINÇA TRASEIRA,MECÂNICA,x,,x,,
,,KIT MOLAS SAPATAS DE FREIO TRASEIRO,MECÂNICA,x,,x,,
,,KIT ROLAMENTO RODA TRASEIRO,MECÂNICA,x,,x,,
,TUBULAÇÃO DE FREIO ,TUBO FLEXÍVEL FREIO DIANTEIRO,MECÂNICA,x,,x,,
,,TUBO FLEXÍVEL FREIO TRASEIRO,MECÂNICA,x,,x,,
,,TUBO FLEXÍVELTRASEIRO ESQUERDO,MECÂNICA,x,,x,,
,,TUBO FLEXÍVELTRASEIRO DIREITO,MECÂNICA,x,,x,,
,,MANGUEIRA DE FREIO,MECÂNICA,x,,x,,
,,TUBO DIANTEIRO DIREITO,MECÂNICA,x,,x,,
,,TUBO DIANTEIRO ESQUERDO,MECÂNICA,x,,x,,
,,TUBO CENTRAL DIREITO,MECÂNICA,x,,x,,
,,TUBO CENTRAL ESQUERDO,MECÂNICA,x,,x,,
,,TUBO TRASEIRO ESQUERDO,MECÂNICA,x,,x,,
,,TUBO TRASEIRO DIREITO,MECÂNICA,x,,x,,
,,ILHÓ DO TUBO DE FREIO,MECÂNICA,x,,x,,
,FREIO DE ESTACIONAMENTO,ALAVANCA DO FREIO DE MÃO,MECÂNICA,x,,x,,
,,CAPA DA ALAVANCA DO FREIO DE MÃO,MECÂNICA,x,,x,,
,,PEDAL DE FREIO DE ESTACIONAMENTO,MECÂNICA,x,,x,,
,,MÓDULO ELETRONICO DO FREIO DE MÃO,ELÉTRICA,x,,x,,
,,MOTOR ELÉTRICO DO FREIO DE MÃO,ELÉTRICA,x,,x,,
,,BOTÃO DO FREIO DE MAO ELÉTRICO,ELÉTRICA,x,,x,,
,,CABO FREIO DE MÃO,MECÂNICA,x,,x,,
,,CABO FREIO DE MÃO ESQUERDO,MECÂNICA,x,,x,,
,,CABO FREIO DE MÃO DIREITO,MECÂNICA,x,,x,,
,,,,,,,,
,,,,,,,100,
,,,,,,,9,9%
