Subgrupo 1,Subgrupo 2,Componentes a trocar,especialidade sugerida,check search google/ML,Repair by FIXER,Repair by GARAGE
ELEMENTOS DE FIXAÇÃO,,PARAFUSO,TODAS,x,,x
,,PORCA,TODAS ,x,,x
,,CLIP,TODAS,x,,x
,,ARRUELA,TODAS,x,,x
,,CINTA/ANILHAS,TODAS,x,,x
,,PORCA FLANJEADA,TODAS,x,,x
,,CINTA HELLERMAN,TODAS,x,X,x
,,PRESILHA MONTANTE,TODAS,x,,x
,,REBITE,TODAS,x,,x
,,GRAMPO DE FIXAÇÃO,TODAS,x,,x
CONJUNTO FAROL E LANTERNA,FAROL E LÂMPADAS,CONJUNTO FAROL COMPLETO (com LEDs) ESQUERDO ,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO (sem LEDs) ESQUERDO ,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO XENON (com LEDs) ESQUERDO ,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO XENON (sem LEDs) ESQUERDO ,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO (com LEDs) DIREITO,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO (sem LEDs) DIREITO,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO XENON (com LEDs) DIREITO,MECÂNICA,x,,x
,,CONJUNTO FAROL COMPLETO XENON (sem LEDs) DIREITO,MECÂNICA,x,,x
,,SENSOR DE ACENDIMENTO AUTOMÁTICO DOS FARÓIS,MECÂNICA,x,,x
,,LÂMPADA DO FAROL ALTO,MECÂNICA,x,x,x
,,LÂMPADA DO FAROL BAIXO,MECÂNICA,x,x,x
,,LÂMPADA DA LUZ DE POSIÇÃO / LANTERNA DO FAROL,MECÂNICA,x,x,x
,,LÂMPADA DE PISCA/SETA DO FAROL,MECÂNICA,x,x,x
,,SUPORTE DO FAROL ESQUERDO,MECÂNICA,x,,x
,,SUPORTE DO FAROL DIREITO,MECÂNICA,x,,x
,,MOTOR DO REGULADOR DE FAROL,MECÂNICA,x,,x
,LUZ DIURNA DRL,LUZ DIURNA DRL DIREITA,MECÂNICA,x,,x
,,LUZ DIURNA DRL ESQUERDA,MECÂNICA,x,,x
,FAROL DE MILHA/NEBLINA E LÂMPADAS,FAROL DE MILHA/NEBLINA,MECÂNICA,x,,x
,,LÂMPADA DO FAROL DE MILHA / NEBLINA,MECÂNICA,x,x,x
,LANTERNA PISCA LATERAL/RETROVISOR E LÂMPADAS,PISCA LATERAL / RETROVISOR ESQUERDO,MECÂNICA,x,x,x
,,PISCA LATERAL / RETROVISOR DIREITO,MECÂNICA,x,x,x
,,LÂMPADA DO PISCA LATERA / RETROVISORL,MECÂNICA,x,x,x
,LANTERNA DA PLACA E LÂMPADAS,LANTERNA DA PLACA,MECÂNICA,x,X,x
,,LÂMPADA DA LANTERNA DA PLACA,MECÂNICA,x,X,x
,LANTERNA TRASEIRA E LÂMPADAS,LANTERNA TRASEIRA ESQUERDA,MECÂNICA,x,,x
,,LANTERNA TRASEIRA DIREITA,MECÂNICA,x,,x
,,APLIQUE LANTERNA TRASEIRA ESQUERDA,MECÂNICA,x,,x
,,APLIQUE LANTERNA TRASEIRA DIREITA,MECÂNICA,x,,x
,,LANTERNA TRASEIRA NEBLINA,MECÂNICA,x,,x
,,LÂMPADA DA LANTERNA TRASEIRA,MECÂNICA,x,x,x
,,LÂMPADA DA LUZ DE NEBLINA LANTERNA TRASEIRA,MECÂNICA,x,x,x
,,LÂMPADA DA LUZ DE RÉ,MECÂNICA,x,x,x
,,LÂMPADA DE PISCA/SETA DA LANTERNA TRASEIRA,MECÂNICA,x,x,x
,LANTERNA BREAK LIGHT/FREIO E LÂMPADAS,BREAK LIGHT,MECÂNICA,x,x,x
,,LÂMPADA DO BREAK LIGHT,MECÂNICA,x,x,x
CENTRAIS ELETRÔNICAS,MÓDULOS,MÓDULO  BSI,ELÉTRICA,x,,x
,,SUPORTE CAIXA BSI,ELÉTRICA,x,,x
,,ECM - ENGINE CONTROL MODULE,ELÉTRICA,x,,x
,,TCM - TRANSMISSION CONTROL MODULE,ELÉTRICA,x,,x
,,BCM - BODY CONTROL MODULE,ELÉTRICA,x,,x
,,ABS/BCM - BRAKE CONTROL MODULE,ELÉTRICA,x,,x
,,DCU - DOOR CONTROL UNIT,ELÉTRICA,x,,x
,,IPC - INSTRUMENT PANEL CLUSTER,ELÉTRICA,x,,x
,,EPS - ELECTRIC POWER STEERING CONTROL UNIT,ELÉTRICA,x,,x
,,SRS - SUPPLEMENTAL RESTRAINT SYSTEM (AIRBAG),ELÉTRICA,x,,x
,CAIXA DE FUSÍVEIS,PINÇA DE FUSÍVEL,MECÂNICA,x,x,x
,,SUPORTE CAIXA FUSÍVEIS,MECÂNICA,x,,x
,,TAMPA CAIXA DE FUSÍVEIS,MECÂNICA,x,x,x
,,FUSÍVEL 5 AMPERES,MECÂNICA,x,x,x
,,FUSIVEL 7 AMPERES,MECÂNICA,x,x,x
,,FUSIVEL 10 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 15 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 20 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 25 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 30 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 35 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 40 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 50 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 60 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 70 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 80 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 90 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 100 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 125 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 150 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 175AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 200 AMPERES,MECÂNICA,x,x,x
,,FUSÍVEL 225AMPERES,MECÂNICA,x,x,x
,RELÉS,RELÉ AUXILIAR,ELÉTRICA,x,x,x
,,RELÉ ELETRÔNICO,ELÉTRICA,x,x,x
ELÉTRICA MOTOR,ARRANQUE,MOTOR PARTIDA ,MECÂNICA,x,,x
,,INDUZIDO MOTOR DE PARTIDA,MECÂNICA,x,,x
,,PARAFUSO FIXAÇÃO MOTOR DE PARTIDA,MECÂNICA,x,,x
,GERADOR DE CORRENTE / ALTERNADOR,ALTERNADOR ,MECÂNICA,x,,x
,,SUPORTE ALTERNADOR,MECÂNICA,x,,x
,,SUPORTE ALTERNADOR COMPRESSOR,MECÂNICA,x,,x
,BATERIA/FIOS,CABO POSITIVO DA BATERIA,ELÉTRICA,x,,x
,,CABO NEGATIVO DA BATERIA,ELÉTRICA,x,,x
,,BATERIA 12V,ELÉTRICA,x,x,x
,,SUPORTE  BATERIA,ELÉTRICA,x,,x
CHICOTES ELÉTRICOS,CHICOTES ELÉTRICOS MOTOR,CHICOTE  INJEÇÃO DO MOTOR,ELÉTRICA,x,,x
,CHICOTE PARACHOQUE DIANTEIRO,CHICOTE FAROL DE MILHA,ELÉTRICA,x,,x
,CHICOTE PRINCIPAL,CHICOTE PRINCIPAL DO MOTOR,ELÉTRICA,x,,x
,CHICOTE DAS PORTAS LATERAIS DIANTEIRAS,CHICOTE ELÉTRICO  PORTA DIANTEIRA ESQUERDA,ELÉTRICA,x,,x
,,CHICOTE PORTA DIANTEIRA DIREITA,ELÉTRICA,x,,x
,CHICOTE DAS PORTAS LATERAIS TRASEIRAS,CHICOTE PORTA TRASEIRA DIREITA,ELÉTRICA,x,,x
,,CHICOTE PORTA TRASEIRA ESQUERDA,ELÉTRICA,x,,x
,CHICOTE DO CLIMATIZADOR,CHICOTE DO AR CONDICIONADO ,ELÉTRICA,x,,x
,CHICOTE DO ASSENTO,CHICOTE DE BANCO DIANTEIRO,ELÉTRICA,x,,x
,CHICOTE HABITACULO,CHICOTE CABINE E HABITÁCULO,ELÉTRICA,x,,x
,,CHICOTE LANTERNA TRASEIRA,ELÉTRICA,x,,x
,,CHICOTE COMANDO DE SOM DO VOLANTE,ELÉTRICA,x,,x
,,CHICOTE DE SOM,ELÉTRICA,x,,x
,,CHICOTE MULTIMIDIA ,ELÉTRICA,x,,x
,CHICOTE PAINEL DE BORDO,CHICOTE ELÉTRICO DO  PAINEL ,ELÉTRICA,x,,x
,CHICOTES TRASEIROS,CHICOTE COMPLETO TAMPA TRASEIRA PORTA MALAS,ELÉTRICA,x,,x
,,CHICOTE SENSOR OBSTÁCULOS,ELÉTRICA,x,,x
PROTEÇÕES E ABERTURA,TRANSRECEPTOR,HASTE ANTENA RECEPTORA,ELÉTRICA,x,x,x
,ALARME DO DISPOSITIVO ANTIFURTO,KIT ALARME ,ELÉTRICA,x,,x
,CHAVE  TRAVAMENTO/DESTRAVAMENTO,CHAVE COM EMISSOR DE FREQUENCIA,ELÉTRICA,x,x,x
,AIRBAGS FRONTAIS,AIRBAG FRONTAL VOLANTE COM CAPA,MECÂNICA,x,,x
,,BOLSA DO AIRBAG PASSAGEIRO ,MECÂNICA,x,,x
,AIRBAGS LATERAIS,AIRBAG DO BANCO ESQUERDO,MECÂNICA,x,,x
,,AIRBAG DO BANCO DIREITO,MECÂNICA,x,,x
,,AIRBAG CORTINA ESQUERDO,MECÂNICA,x,,x
,,AIRBAG CORTINA DIREITO,MECÂNICA,x,,x
,CAIXA DE COMANDO DO AIRBAG,SRS - SUPPLEMENTAL RESTRAINT SYSTEM (AIRBAG),ELÉTRICA,x,,x
,,SENSOR AIRBAG ,MECÂNICA,x,,x
,SENSOR DE OBSTÁCULO/ESTACIONAMENTO,CAIXA DETETOR OBSTÁCULO,ELÉTRICA,,,
,,SENSOR ESTACIONAMENTO TRASEIRO,ELÉTRICA,x,,x
,,SENSOR ESTACIONAMENTO  DIANTEIRO,ELÉTRICA,x,,x
,SISTEMA DE VIDEO TRASEIRO,CÂMERA DE RÉ,ELÉTRICA,x,,x
,,SUPORTE CÂMERA DE RÉ,ELÉTRICA,x,,x
ALTO FALANTES,,ALTO FALANTE TRASEIRO,ELÉTRICA,x,,x
,,ALTO FALANTE DIANTEIRO,ELÉTRICA,x,,x
,,TWEETER,ELÉTRICA,x,,x
ANTENA DE RÁDIO,,HASTE ANTENA DE RADIO,ELÉTRICA,x,x,x
,,BASE ANTENA,ELÉTRICA,x,,x
,,CABO ANTENA DE RADIO,ELÉTRICA,x,,x
,,AMPLIFICADOR ANTENA DE RADIO,ELÉTRICA,x,,x
,CONJUNTO RADIO,RADIO ORIGINAL,ELÉTRICA,x,x,x
,,TOMADA USB,ELÉTRICA,x,,x
,,RASTREADOR VEICULAR,ELÉTRICA,x,x,x
,TELA MULTIFUNÇÕES,KIT CENTRAL MULTIMIDIA ORIGINAL,ELÉTRICA,x,,x
,COMANDOS DE VOLANTE,COMANDO SETAS VOLANTE,ELÉTRICA,x,,x
,,ALAVANCA COMANDO CONTROLE DO RADIO,ELÉTRICA,x,,x
,,ALAVANCA COMANDO DE VELOCIDADE,ELÉTRICA,x,,x
,,BOTOES COMANDO VOLANTE,MECÂNICA,X,,X
