Subgrupo 1 ,Subgrupo 2,Componentes a trocar,especialidade sugerida,check search google/ML,Repair by FIXER,Repair by GARAGE
ELEMENTOS DE FIXAÇÃO,,PARAFUSO,TODAS,x,,x
,,PORCA,TODAS,x,,x
,,CLIP,TODAS,x,,x
,,ARRUELA,TODAS,x,,x
,,PRISIONEIRO,TODAS,x,,x
,,PORCA COM ARRUELA IMPERDIVEL,TODAS,x,,x
,,INSERTO,TODAS,x,,x
,,REBITE,TODAS,x,,x
,,GRAMPO DE FIXAÇÃO,TODAS,x,,x
CONJUNTO PAINEL DE BORDO,PAINEL DE BORDO,TUBO DE PLÁSTICO SAÍDA AR CONDICIONADO DIREITO,MECÂNICA,x,,x
,,TUBO DE PLÁSTICO SAÍDA DE AR CONDICIONADO ESQUERDO,MECÂNICA,x,,x
,MOSTRADOR,PAINEL DE INSTRUMENTO/MOSTRADOR,ELÉTRICA,x,,x
,PORTA-LUVAS,PORTA-LUVAS,MECÂNICA,x,,x
,,TAMPA PORTA-OBJETOS,MECÂNICA,x,,x
,,PORTA OBJETOS DO CONSOLE,MECÂNICA,x,,x
,DIFUSORES DE AR,DIFUSOR AR CONDICIONADO PAINEL DIREITA,MECÂNICA,x,,x
,,DIFUSOR AR CONDICIONADO PAINEL ESQUERDA,MECÂNICA,x,,x
,,DIFUSOR AR CONDICIONADO PAINEL CENTRAL,MECÂNICA,x,,x
,PLACAS PROTETORAS,MOLDURA PAINEL ,MECÂNICA,x,,x
,,MOLDURA PAINEL INSTRUMENTOS,MECÂNICA,x,,x
,,MOLDURA RADIO,MECÂNICA,X,,X
,,MOLDURA PARA MULTIMIDIA,MECÂNICA,x,,x
,,MOLDURA TOMADA USB/12V,MECÂNICA,x,,x
,,MOLDURA INFERIOR PAINEL CENTRAL,MECÂNICA,x,,x
,,MOLDURA CONTROLE AR CONDICIONADO PAINEL,MECÂNICA,x,,x
,,TAMPA RÁDIO,MECÂNICA,x,,x
,CONSOLE CENTRAL,PAINEL CONSOLE FREIO DE MÃO,MECÂNICA,x,,x
,,PAINEL CONSOLE CENTRAL INFERIOR,MECÂNICA,x,,x
,,ACABAMENTO CONSOLE CENTRAL INFERIOR,MECÂNICA,x,,x
,,ACABAMENTO ALAVANCA CAMBIO,MECÂNICA,x,,x
,,COIFA ALAVANCA DE CAMBIO,MECÂNICA,x,,x
,,BASE ALAVANCA MARCHA,MECÂNICA,x,,x
,,MOLDURA BASE DA COIFA CAMBIO,MECÂNICA,x,,x
CONJUNTO BANCO DIANTEIRO,ARMAÇÃO BANCO DIANTEIRO - LADO MOTORISTA/PASSAGEIRO,ESTRUTURA DO ENCOSTO DO BANCO DIANTEIRO ,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ESTRUTURA DO ASSENTO DO BANCO DIANTEIRO ,TAPEÇARIA / ESTOFAMENTO,x,,x
,,KIT TRILHOS ASSENTO DIANTEIRO ESQUERDO,MECÂNICA,x,,x
,,KIT TRILHOS ASSENTO DIANTEIRO DIREITO,MECÂNICA,x,,x
,,ACABAMENTO ASSENTO DIANTEIRO ESQUERDO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ACABAMENTO ASSENTO DIANTEIRO DIREITO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,BOTÃO  AJUSTE ALTURA ASSENTO ESQUERDO,MECÂNICA,x,,x
,,ALAVANCA REGULAGEM  ENCOSTO ASSENTO DIANTEIRO ESQUERDO,MECÂNICA,x,,x
,,ALAVANCA REGULAGEM ENCOSTO DIANTEIRO DIREITO,MECÂNICA,x,,x
,ESTOFAMENTO E FORRO  DO BANCO DIANTEIRO,ESTOFAMENTO  ASSENTO BANCO DIANTEIRO ,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ESTOFAMENTO ENCOSTO BANCO DIANTEIRO ,TAPEÇARIA / ESTOFAMENTO,x,,x
,,CAPA/FORRO ASSENTO BANCO DIANTEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,CAPA/FORRO ENCOSTO BANCO  DIANTEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ENCOSTO DE CABEÇA BANCO DIANTEIRO ,TAPEÇARIA / ESTOFAMENTO,x,x,x
,,GUIA APOIO CABEÇA BANCO DIANTEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,SINTOS DE SEGURANÇA DA FRENTE,CINTO SEGURANÇA DIANTEIRO DIREITO,MECÂNICA,x,,x
,,CINTO SEGURANÇA DIANTEIRO ESQUERDO,MECÂNICA,x,,x
,,FECHO CINTO SEGURANÇA ESQUERDO,MECÂNICA,x,,x
,,FECHO CINTO SEGURANÇA DIREITA,MECÂNICA,x,,x
,,REGULADOR  ALTURA CINTO SEGURANÇA,MECÂNICA,x,,x
BANCOS TRASEIROS,ESTRUTURA BANCOS TRASEIROS,ENCOSTO BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,TRAVA BANCO TRASEIRO ESQUERDO,MECÂNICA,x,,x
,,TRAVA BANCO TRASEIRO DIREITO,MECÂNICA,x,,x
,,GUIA DO CINTO BANCO TRASEIRO,MECÂNICA,x,,x
,,BATENTE BANCO TRASEIRO ESQUERDO,MECÂNICA,x,,x
,,BATENTE BANCO TRASEIRO DIREITO,MECÂNICA,x,,x
,ESTOFAMENTO E FORRO DO BANCO TRASEIRO,ESTOFAMENTO  ASSENTO BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ESTOFAMENTO ENCOSTO BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,CAPA/FORRO ASSENTO BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,CAPA/FORRO ENCOSTO BANCO  DIANTEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ENCOSTO DE CABEÇA BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,x,x
,,GUIA APOIO CABEÇA BANCO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,CINTO DE SEGURANÇA TRASEIRO,CINTO DE SEGURANÇA TRASEIRO ESQUERDO,MECÂNICA,x,,x
,,CINTO DE SEGURANÇA TRASEIRO DIREITO,MECÂNICA,x,,x
,,FECHO CINTO SEGURANÇA TRASEIRO ESQUERDO,MECÂNICA,x,,x
,,FECHO CINTO SEGURANÇA TRASEIRO DIREITO,MECÂNICA,x,,x
,TAMPA DE PORTA MALAS TRASEIRO,TAMPAO PORTA MALAS,MECÂNICA,x,x,x
,,BATENTE TAMPAO PORTA MALAS,MECÂNICA,x,,x
REVESTIMENTO INTERIOR,ACABAMENTO INTERNO DIANTEIRO,ACABAMENTO INTERNO DO PARABRISA DIREITO,MECÂNICA,x,,x
,,ACABAMENTO INTERNO DO PARABRISA ESQUERDO,MECÂNICA,x,,x
,,ACABAMENTO INTERNO COLUNA CENTRAL ESQUERDA,MECÂNICA,x,,x
,,ACABAMENTO INTERNO  COLUNA CENTRAL DIREITA,MECÂNICA,x,,x
,,ACABAMENTO INTERNO COLUNA CINTO ESQUERDA,MECÂNICA,x,,x
,,ACABAMENTO INTERNO  COLUNA CINTO DIREITA,MECÂNICA,x,,x
,,ACABAMENTO INTERNO PLÁSTICO LONGARINA ESQUERDA,MECÂNICA,x,,x
,,ACABAMENTO INTERNO PLÁSTICO LONGARINA DIREITA,MECÂNICA,x,,x
,CARPETE DO ASSOALHO,CARPETE  MOLDADO DO ASSOALHO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,JOGO DE TAPETES,TAPEÇARIA / ESTOFAMENTO,x,x,x
,,APOIO DE PÉS ASSOALHO ESQUERDO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,APOIO DE PÉS ASSOALHO DIREITO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ISOLANTE TERMICO ASSOALHO DIANTEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ISOLANTE TERMICO ASSOALHO TRASEIRO,TAPEÇARIA / ESTOFAMENTO,x,,x
,,CLIP FIXAÇÃO TAPETE,TAPEÇARIA / ESTOFAMENTO,x,,x
,TAPEÇARIA/ ACABAMENTO PORTA-MALAS,TAPETE PORTA MALAS,TAPEÇARIA / ESTOFAMENTO,x,X,x
,,ACABAMENTO MOLDURA INTERNA PORTA MALAS  ESQUERDA,TAPEÇARIA / ESTOFAMENTO,x,,x
,,ACABAMENTO MOLDURA INTERNA PORTA MALAS  DIREITA,TAPEÇARIA / ESTOFAMENTO,x,,x
,GUARNIÇÕES INTERIORES TRASEIRA,MOLDURA ACABAMENTO CINTO TRASEIRO ESQUERDO,MECÂNICA,x,,x
,,MOLDURA ACABAMENTO CINTO TRASEIRO DIREITO,MECÂNICA,x,,x
SISTEMA DE AR CONDICIONADO,AQUECEDOR E MANGUEIRAS D'ÁGUA,RADIADOR DE AR QUENTE AQUECEDOR,MECÂNICA,x,,x
,,MANGUEIRA ENTRADA RADIADOR DE AR QUENTE AQUECEDOR,MECÂNICA,x,,x
,,MANGUEIRA SAÍDA RADIADOR DE AR QUENTE AQUECEDOR,MECÂNICA,x,,x
,SENSORES AR CONDICIONADO,SENSOR EVAPORADOR,MECÂNICA,x,,x
,CONDENSADOR,CONDENSADOR AR CONDICIONADO,MECÂNICA,x,,x
,,SUPORTE FIXAÇÃO CONDENSADOR,MECÂNICA,x,,x
,CONTROLE DO AR CONDICIONADO,CONTROLE DO AR CONDICIONADO,MECÂNICA,x,,x
,,CABOS DO CONTROLE DO AR CONDICIONADO,MECÂNICA,x,,x
,COMPRESSOR / SUPORTE COMPRESSOR,COMPRESSOR AR CONDICIONADO,MECÂNICA,x,,x
,,SUPORTE COMPRESSOR,MECÂNICA,x,,x
,CAIXA DE AR CONDICIONADO / VÁLVULA DE EXPANSÃO,CAIXA DO AR CONDICIONADO SIMPLES,MECÂNICA,x,,x
,,CAIXA DO AR CONDICIONADO AUTOMATICO,MECÂNICA,x,,x
,,RESISTENCIA DO AR CONDICIONADO ,MECÂNICA,x,,x
,,VÁLVULA EXPANSÃO AR CONDICONADO,MECÂNICA,x,,x
,CONJUNTO EXTRATOR SISTEMA DE AR CONDICIONADO,VENTILADOR INTERNO / VENTOINHA AR CONDICONADO,MECÂNICA,x,,x
,,CAIXA DO FILTRO DE AR CONDICIONADO,MECÂNICA,x,,x
,,CONJUNTO  FILTROS ANTI-PÓLEN AR CONDICIONADO,MECÂNICA,x,x,x
,,CONJUNTO FILTROS CARVÃO AR CONDICIONADO (automático),MECÂNICA,x,x,x
,MANGUEIRAS DE AR CONDICIONADO,MANGUEIRAS DE AR CONDICIONADO EVAPORADOR,MECÂNICA,x,,x
,,MANGUEIRAS DE AR  CONDICIONADO COMPRESSOR CONDENSADOR,MECÂNICA,x,,x
,,MANGUEIRAS DE AR CONDICIONADO COM VÁLVULA,MECÂNICA,X,,X
,,PRESSOSTATO AR CONDICIONADO,MECÂNICA,x,,x
,FLUÍDO DE AR CONDICIONADO,FLUÍDO REFRIGERANTE AR CONDICIONADO,MECÂNICA,x,,x
CONSOLE DE TETO,,LUZ DE TETO,ELÉTRICA/AUDIO/SOM,X,X,X
,,SUPORTE LUZ DE TETO,ELÉTRICA/AUDIO/SOM,X,,X
RETROVISOR INTERNO E QUEBRA SOL,,CONJUNTO QUEBRA SOL,MECÂNICA,x,x,x
,,RETROVISOR INTERNO,MECÂNICA,x,X,x
,,ACABAMENTO RETROVISOR INTERNO,MECÂNICA,x,,x
,FORRO DE TETO,FORRO DE TETO,TAPEÇARIA / ESTOFAMENTO,x,,x
