Subgrupo 1 ,Subgrupo 2,Componentes a trocar,Especialidade sugerida,check search google/ML,Repair by FIXER,Repair by GARAGE,,
ELEMENTOS DE FIXAÇÃO,,PARAFUSO,TODAS,X,,x,,
,,PORCA,TODAS,X,,x,,
,,SUPORTE,TODAS ,X,,X,,
,,COLA DE VEDAÇÃO,TODAS ,X,,X,,
,,CLIP,TODAS,X,,x,,
,,ARRUELA,TODAS,X,,x,,
,,PRISIONEIRO,TODAS,X,,x,,
,,BRAÇADEIRA,TODAS,X,,x,,
,,LUVA DE FIXAÇÃO,TODAS,X,,x,,
BLOCO DO MOTOR,CONJUNTO PISTÃO,JOGO DE BIELAS DE MOTOR,MECANICA,x,,x,,
,,BRONZINA DE BIELA MOTOR,MECANICA,x,,x,,
,,PARAFUSO BIELA MOTOR,MECANICA,x,,x,,
,,JOGO DE PISTÕES MONTADOS MOTOR,MECANICA,x,,x,,
,,CONJUNTO ANEIS SEGMENTO MOTOR,MECANICA,x,,x,,
,CONJUNTO BLOCO VIRABRQUIM,BLOCO DO MOTOR,MECANICA,X,,x,,
,,JUNTA DO CARTER,MECANICA,X,,x,,
,,VIRABREQUIM,,,,,,
,,JUNTA DE BLOCO MOTOR,MECANICA,x,,x,,
,,CUBO DE POLIA DE VIRABREQUIM,MECANICA,x,,x,,
,,RETENTOR TRASEIRO VIRABREQUIM,MECANICA,x,,x,,
,,RETENTOR DIANTEIRO VIRABREQUIM,MECANICA,x,,x,,
,,FLANGE DE VEDAÇÃO DIAN. DO VIRABREQUIM,MECANICA,x,,x,,
,,FLANGE DE VEDAÇÃO TRAS. DO VIRABREQUIM,MECANICA,x,,x,,
,,POLIA DO VIRABREQUIM,MECANICA,x,,x,,
,,PARAFUSO POLIA VIRABREQUIM,MECANICA,x,,x,,
,,VOLANTE MOTOR ,MECANICA,x,,x,,
,,PARAFUSOS DO MANCAL,MECANICA,x,,x,,
,,MANCAL DO VIRABREQUIM,MECANICA,x,,x,,
,,ANEL DE ENCOSTO,MECANICA,x,,x,,
,,BRONZINAS VIRABREQUIM,MECANICA,x,,X,,
CABEÇOTE,TAMPA DO CABEÇOTE,CABEÇOTE ,MECANICA,X,,X,,
,,JUNTA CABEÇOTE,MECANICA,X,,X,,
,,PARAFUSO DO CABEÇOTE,MECANICA,X,,X,,
,,ARRUELA PARAFUSO CABEÇOTE,MECANICA,X,,X,,
,,TAMPA DO CABEÇOTE,MECANICA,X,,X,,
,,TAMPA ENCHIMENTO ÓLEO MOTOR,MECANICA,X,X,X,,
,,PARAFUSOS DA TAMPA,MECANICA,X,,X,,
,,JUNTA TAMPA DO CABEÇOTE,MECANICA,X,,X,,
,VÁLVULAS E GUIAS DE VÁLVULAS,VÁLVULA ADMISSÃO,MECANICA,X,,X,,
,,VÁLVULA ESCAPE,MECANICA,X,,X,,
,,PRATO DE VÁLVULA,MECANICA,X,,X,,
,,TRAVA DO PRATO,MECANICA,,,X,,
,,MOLA DA VÁLVULA,MECANICA,X,,X,,
,,SEDES DE ADMISÃO,MECANICA,,,X,,
,,SEDES DE ESCAPE,MECANICA,,,X,,
,,TUCHOS MECÂNICOS,MECANICA,,,X,,
,,TUCHOS HIDRÁULICOS,MECANICA,,,X,,
,,JOGO DE BALAMCIM,,,,,,
,,JUNTA HASTE VÁLVULA,MECANICA,X,,X,,
,,RETENTOR DE VÁLVULA,MECANICA,X,,X,,
,CONJUNTO DISTRIBUIÇÃO (eixo comando de válvulas / polias / tensionadores e correias),EIXO COMANDO ADMISSÃO,MECANICA,X,,X,,
,,EIXO COMANDO ESCAPAMENTO,MECANICA,X,,X,,
,,RETENTOR COMANDO ADMISSAO,MECANICA,X,,X,,
,,RETENTOR COMANDO ESCAPAMENTO,MECANICA,X,,X,,
,,POLIA COMANDO ADMISSAO,MECANICA,X,,X,,
,,POLIA COMANDO ESCAPAMENTO,MECANICA,x,,x,,
,,VVT POLIA ADMISSÃO,MECANICA,x,,x,,
,,VVT POLIA ESCAPE,MECANICA,x,,x,,
,,VÁLVULA OCV,MECANICA,x,,x,,
,,CORREIA DENTADA,MECANICA,x,,x,,
,,TENSIONADOR DA POLIA,MECANICA,X,,x,,
,,ROLAMENTO FIXO DA CORREIA,MECANICA,X,,X,,
,,POLIA DO VIRABREQUIM,MECANICA,X,,X,,
LUBRIFICAÇÃO DO MOTOR,,ÓLEO DE MOTOR,FLUÍDOS (ÓLEO E REFRIGERAÇÃO DE MOTOR),x,?,x,,
,BOMBA DE ÓLEO DO MOTOR,BOMBA DE ÓLEO DO MOTOR,MECANICA,x,,x,,
,,JUNTA DA BOMBA,MECANICA,,,x,,
,,PARAFUSOS DA BOMBA,MECANICA,,,x,,
,,PESCADOR DA BOMBA,MECANICA,x,,x,,
,,JUNTA DO PESCADOR,MECANICA,,,x,,
,,POLIA BOMBA ÓLEO EIXO,MECANICA,x,,x,,
,,CORRENTE BOMBA DE ÓLEO,MECANICA,x,,x,,
,TUBO DE BLOW-BY,MANGUEIRA ANTI CHAMA,MECANICA,x,,x,,
,CARTER E FILTRO DE ÓLEO,CARTER MOTOR,MECANICA,x,,x,,
,,SUB CARTER,MECANICA,x,,x,,
,,TROCADOR DE CALOR,MECANICA,x,,x,,
,,FILTRO DE ÓLEO,FLUÍDOS (ÓLEO E REFRIGERAÇÃO DE MOTOR),x,?,x,,
,,ANEL DE VEDAÇÃO DO FILTRO,MECANICA,x,,x,,
,,SENSOR DE PRESSÃO DE ÓLEO MOTOR,MECANICA,x,?,x,,
,,BUJÃO DRENO ÓLEO MOTOR,MECANICA,x,,x,,
,,GUIA VARETA DE ÓLEO,MECANICA,x,,x,,
,,SENSOR DE NÍVEL DO ÓLEO,MECANICA,x,,x,,
,,SENSOR DE TEMPERATURA DO ÓLEO,MECANICA,x,,x,,
,,VARETA DE ÓLEO MOTOR,MECANICA,X,X,x,,
,,KIT GLICLE ÓLEO DO PISTÃO,MECANICA,x,,x,,
SUPORTE/FIXAÇÃO DO MOTOR,,BRAÇO SUPORTE DO MOTOR,MECANICA,x,,x,,
,,COXIM DO MOTOR ESQUERDO,MECANICA,x,,x,,
,,COXIM DO MOTOR DIREITO,MECANICA,X,,X,,
,,SUPORTE MOTOR DIREITO,,,,,,
,,SUPORTE MOTOR ESQUERDO,MECANICA,X,,X,,
ARREFECIMENTO DO MOTOR,MANGUEIRAS D'ÁGUA,MANGUEIRA ENTRADA ÁGUA RADIADOR,MECANICA,x,X,x,,
,,MANGUEIRA SAÍDA ÁGUA RADIADOR,MECANICA,x,X,x,,
,,MANGUEIRA RESERVATÓRIO DE ÁGUA,MECANICA,x,X,,,
,BOMBA D'ÁGUA E DUTOS,BOMBA D’ÁGUA,MECANICA,x,,x,,
,,VÁLVULA TERMOSTÁTICA,,,,,,
,,JUNTA BOMBA D’ÁGUA,MECANICA,x,,x,,
,,TUBO/CAVALETE BOMBA D'ÁGUA MOTOR,MECANICA,x,,x,,
,,CORREIA DA BOMBA D’ÁGUA,MECANICA,x,X,x,,
,ELETROVENTILADOR,CONJUNTO ELETROVENTILADOR,MECANICA,x,,x,,
,,RELE COMANDO VENTILADOR,MECANICA,x,X,x,,
,CONJUNTO RADIADOR,RADIADOR ÁGUA ,MECANICA,x,,x,,
,,COXIM ELASTICO RADIADOR,MECANICA,x,,x,,
,,LÍQUIDO DE ARREFECIMENTO MOTOR,FLUÍDOS (ÓLEO E REFRIGERAÇÃO DE MOTOR),x,x,x,,
,VÁLVULA TERMOSTÁTICA,BOCAL/SENSOR SAÍDA TERMOSTÁTICA,MECANICA,x,,x,,
,,TAMPA DO RESERVATÓRIO,MECANICA,x,X,x,,
ADMISSÃO / ALIMENTAÇÃO DE AR,,COLETOR DE  AR ADMISSÃO,MECANICA,x,,x,,
,,JUNTAS COLETOR AR ADMISSÃO,MECANICA,x,,x,,
,,JUNTA CORPO BORBOLETA,MECANICA,x,,x,,
,,CORPO BORBOLETA ADMISSÃO,MECANICA,x,,x,,
,,SENSOR PRESSÃO ADMISSÃO,MECANICA,x,X,x,,
,,MANGUEIRA RESPIRO DE ÓLEO,MECANICA,x,X,x,,
SISTEMA DE ALIMENTAÇÃO,,FLAUTA DE INJEÇÃO / BICO,MECANICA,x,,x,,
,,INJETOR COMBUSTIVEL,MECANICA,x,,x,,
,,ANEL DE VEDAÇÃO,MECANICA,x,,x,,
,TANQUE DE COMBUSTÍVEL E COMPONENTES,TANQUE COMBUSTÍVEL,MECANICA,x,,x,,
,,MÓDULO DE COMBUSTÍVEL,MECANICA,x,,x,,
,,REGULADOR DE PRESSÃO,MECANICA,x,,x,,
,,BOMBA DE COMBUSTÍVEL ELÉTRICA,MECANICA,x,,x,,
,,BOMBA DE COMBUSTÍVEL ALTA PRESSÃO,MECANICA,x,,x,,
,,PRÉ FILTRO,MECANICA,x,,x,,
,,VEDAÇÃO DO MÓDULO DE COMBUSTÍVEL,MECANICA,X,,X,,
,,SENSOR DE NÍVEL DO TANQUE,MECANICA,X,,X,,
,,TUBULAÇÃO DE ENTRADA,MECANICA,X,,X,,
,,"TUBUL,ÃO DO BOCAL",MECANICA,X,,X,,
,,TUBULAÇÃO DE SAÍDA,MECANICA,X,,X,,
,,CINTA TANQUE COMBUSTÍVEL,MECANICA,X,,X,,
,TANQUE DE COMBUSTIVEL DE PARTIDA,RESERVATÓRIO PARTIDA FRIO,MECANICA,X,,X,,
,,TAMPA RESERVATÓRIO PARTIDA A FRIO,MECANICA,X,X,X,,
,,BOMBA RESERVATORIO DE PARTIDA A FRIO,MECANICA,X,,X,,
,,VEDAÇÃO RESERVATORIO DE PARTIDA A FRIO,MECANICA,X,,X,,
,,ELETROVÁLVULA RESERVATÓRIO DE PARTIDA A FRIO,MECANICA,X,X,X,,
FILTRO DE AR / DEFLETORES,,CAIXA FILTRO DE AR,MECANICA,x,x,x,,
,,ELEMENTO FILTRO DE AR,MECANICA,X,X,,,
,,BOCAL FILTRO DE AR,MECANICA,X,,,,
CONTROLE MOTOR,,MODULO DE INJEÇÃO,ELETRICA,X,,X,,
,,SENSOR POSIÇÃO DO EIXO COMANDO,ELETRICA,X,,X,,
,,SUPORTE DO MODULO DE INJEÇÃO,ELETRICA,x,,x,,
,,SENSOR ROTAÇÃO DO MOTOR,ELETRICA,X,,X,,
,,SENSOR TEMPERATURA DO MOTOR,ELETRICA,X,?,X,,
,,SENSOR DETONAÇÃO MOTOR,ELETRICA,X,X,X,,
,,VÁLVULA SOLENÓIDE CABEÇOTE,ELETRICA,x,,x,,
,,VÁLVULA CANISTER,ELETRICA,x,X,x,,
TAMPA DE COMBUST[IVEL,,BOCAL ENCHIMENTO COMBUSTÍVEL,MECANICA,x,,x,,
,,PORTINHOLA ABASTEC COMBUSTÍVEL,MECANICA,x,,x,,
MANGUEIRAS DE COMBUSTÍVEL,,MANGUEIRA COMBUSTIVEL BICO DUPLO,MECANICA,X,,X,,
,,MANGUEIRA ENTRADA MEDIDOR DE NÍVEL DE COMBUSTÍVEL,MECANICA,X,,X,,
,,FILTRO ALIMENTAÇÃO COMBUSTÍVEL ,MECANICA,x,X,x,,
,,MANGUEIRA SAÍDA MEDIDOR DE NÍVEL DE COMBUSTÍVEL,MECANICA,x,,x,,
,,MAGUEIRA ENTRADA CANISTER,MECANICA,x,X,x,,
,,MANGUEIRA SAIDA CANISTER,MECANICA,x,X,x,,
ESCAPE,CONJUNTO CATALISADOR ,CONJUNTO CATALIZADOR COM CERAMICA,MECANICA,x,,x,,
,,JUNTA FLANGE ESCAPAMENTO,MECANICA,x,,x,,
,SONDA LAMBDA,SENSOR SONDA LAMBDA,MECANICA,x,,x,,
,CONJUNTO ESCAPAMENTO TRASEIRO,TUBO INTERMEDIÁRIO ESCAPAMENTO,ESCAPAMENTOS,x,,x,,
,,SILENCIADOR TRASEIRO ESCAPAMENTO,ESCAPAMENTOS,x,,x,,
,,BRAÇADEIRA DE FIXAÇÃO DO ESCAPAMENTO,ESCAPAMENTOS,x,,x,,
,,COXIM DE ESCAPAMENTO,ESCAPAMENTOS,x,X,x,,
,PROTETORES TERMICO ESCAPE,DEFLETOR TÉRMICO DO ESCAPAMENTO DIANTEIRO,MECANICA,x,,x,,
,,DEFLETOR TÉRMICO DO ESCAPAMENTO TRASEIRO,MECANICA,x,,x,,
,,DEFLETOR TÉRMICO DO ESCAPAMENTO,MECANICA,x,,x,,
ANTI POLUIÇÃO,,CANISTER FILTRO,MECANICA,x,,x,,
,,MANGUEIRA  RESPIRO TANQUE,MECANICA,X,,X,,
,,ELETROVÁLVULA CANISTER,MECANICA,x,,x,,
INGNIÇÃO,,BOBINA IGNIÇÃO MOTOR,MECANICA,x,,x,,
,,VELA DE IGNIÇÃO,MECANICA,x,,x,,
,,MODULO IGNIÇÃO,MECANICA,x,,x,,
,,SUPORTE MODULO IGNIÇÃO,MECANICA,X,,X,,
INTERCOOLER,,INTERCOOLER,MECANICA,X,,X,,
,,COXIM INTERCOOLER,MECANICA,X,,X,,
TUBULAÇÃO DE AR DO TURBO,,MANGUEIRA ADMISSÃO AR TURBO,MECANICA,x,,x,,
,,DUTO AR SAIDA TURBO,MECANICA,x,,x,,
,,DUTO AR ENTRADA FILTRO ADMISSÃO,MECANICA,x,,x,,
,,MANGUEIRA SAIDA INTERCOOLER,MECANICA,x,,x,,
,,MANGUEIRA ENTRADA INTERCOOLER,MECANICA,x,,x,,
EMBREAGEM,ATUAÇÃO EMBREAGEM,CAPA PEDAL EMBREAGEM,MECANICA,x,x,x,,
,,SENSOR EMBREAGEM,MECANICA,X,X,X,,
,,CILINDRO RECEPTOR EMBREAGEM,MECANICA,x,,x,,
,,CILINDRO ATUADOR DE EMBREAGEM,MECANICA,x,,x,,
,,MANGUEIRA ATUADOR DE EMBREAGEM,MECANICA,x,,x,,
,CONJUNTO EMBREAGEM,KIT EMBREAGEM,MECANICA,x,,x,,
,,GARFO EMBREAGEM,MECANICA,x,,x,,
CAIXA DE CAMBIO MANUAL,,CONJUNTO CAIXA DE CAMBIO MANUAL,MECANICA,X,,X,,
CAIXA DE CAMBIO AUTOMÁTICA,,CONJUNTO CAIXA DE CAMBIO AUTOMATICA,MECANICA,X,,X,,
COMANDO DE VELOCIDADES,COMANDO CAIXA DE CAMBIO MANUAL,ALAVANCA DE CAMBIO MANUAL,MECANICA,X,,X,,
,,BOLA ALAVANCA CAMBIO MANUAL,MECANICA,X,x,X,,
,COMANDO CAIXA DE CAMBIO AUTOMÁTICO,ALAVANCA DE CAMBIO AUTOMATICO,MECANICA,x,,x,,
,,BOLA ALAVANCA CAMBIO AUTOMATICO,MECANICA,x,x,x,,
PEDAL DE ACELERADOR,,PEDAL ACELERADOR,MECANICA,X,,X,,
,,,,,,,144,
,,,,,,,16,11%
