Subgrupo 1 ,Subgrupo 2,Componentes a trocar,Especialidade sugerida,check search google/ML,Repair by FIXER,Repair by GARAGE,,
ELEMENTOS DE FIXAÇÃO,,PARAFUSO,TODAS,X,,x,,
,,PORCA,TODAS,X,,x,,
,,SUPORTE,TODAS ,X,,X,,
,,COLA DE VEDAÇÃO,TODAS ,X,,X,,
,,CLIP,TODAS,X,,x,,
,,ARRUELA,TODAS,X,,x,,
,,PRISIONEIRO,TODAS,X,,x,,
,,BRAÇADEIRA,TODAS,X,,x,,
,,LUVA DE FIXAÇÃO,TODAS,X,,x,,
SISTEMA DE TRANSMISSÃO,EMBREAGEM,CAPA PEDAL EMBREAGEM,MECÂNICA,x,x,x,,
,,PEDAL EMBREAGEM,MECÂNICA,x,,x,,
,,SENSOR EMBREAGEM,MECÂNICA,X,X,X,,
,,CILINDRO RECEPTOR EMBREAGEM,MECÂNICA,x,,x,,
,,CILINDRO ATUADOR DE EMBREAGEM,MECÂNICA,x,,x,,
,,MANGUEIRA ATUADOR DE EMBREAGEM,MECÂNICA,x,,x,,
,,CABO DE EMBREAGEM,MECÂNICA,x,,x,,
,,KIT EMBREAGEM,MECÂNICA,x,,x,,
,,PLATÔ DE EMBREAGEM,MECÂNICA,x,,x,,
,,DISCO DE EMBREAGEM,MECÂNICA,x,,x,,
,,ROLAMENTO DE EMBREAGEM,MECÂNICA,x,,x,,
,,GARFO EMBREAGEM,MECÂNICA,x,,x,,
,CAIXA DE CAMBIO MANUAL,CONJUNTO CAIXA DE CAMBIO MANUAL,MECÂNICA,X,,X,,
,CAIXA DE CAMBIO AUTOMÁTICA,CONJUNTO CAIXA DE CAMBIO AUTOMATICA,MECÂNICA,X,,X,,
,COMANDO DE VELOCIDADES,ALAVANCA DE CAMBIO MANUAL,MECÂNICA,X,,X,,
,,BOLA ALAVANCA CAMBIO MANUAL,MECÂNICA,X,x,X,,
,,ALAVANCA DE CAMBIO AUTOMATICO,MECÂNICA,x,,x,,
,,CABO SELETOR DE MARCHA,MECÂNICA,x,,x,,
,,CABO DE ENGATE DE MARCHA,MECÂNICA,x,,x,,
,,TERMINAL CABO SELETOR DE MARCHA,MECÂNICA,x,,x,,
,,TERMINAL CABO DE ENGATE DE MARCHA,MECÂNICA,x,,x,,
,,BOLA ALAVANCA CAMBIO AUTOMATICO,MECÂNICA,x,x,x,,
,,REPARO TRAMBULADOR DE CÂMBIO,MECÂNICA,x,,x,,
,EIXOS E JUNTAS MÓVEIS,SEMI EIXO COMPLETO TRANSMISSÃO ESQUERDA CAMBIO MANUAL,MECÂNICA,x,,x,,
,,SEMI EIXO COMPLETO TRANSMISSÃO DIREITA CAMBIO MANUAL,MECÂNICA,x,,x,,
,,ROLAMENTO SEMI EIXO CAMBIO MANUAL,MECÂNICA,x,,x,,
,,RETENTOR DO SEMI EIXO DE TRANSMISSÃO MANUAL,MECÂNICA,x,,x,,
,,PORCA DA HOMOCINÉTICA,MECÂNICA,x,,x,,
,,PARAFUSO CABEÇA EXCÊNTRICA,MECÂNICA,x,,x,,
,,SEMI EIXO ESQUERDA CAMBIO AUTOMÁTICO,MECÂNICA,x,,x,,
,,SEMI EIXO DIREITO CAMBIO AUTOMATICO,MECÂNICA,x,,x,,
,,KIT COIFA HOMOCINÉTICA LADO RODA,MECÂNICA,x,,x,,
,,KIT COIFA HOMOCINÉTICA LADO CÂMBIO,MECÂNICA,x,,x,,
,,ROLAMENTO SEMI EIXO CAMBIO AUTOMÁTICO,MECÂNICA,x,,x,,
,,RETENTOR DO SEMI EIXO DE TRANSMISSÃO AUTOMÁTICA,MECÂNICA,x,,x,,
,,JUNTA HOMOCINÉTICA LADO CÂMBIO,MECÂNICA,x,,x,,
,,JUNTA HOMOCINÉTICA LADO RODA,MECÂNICA,x,,x,,
SUPORTE/FIXAÇÃO DA TRANSMISSÃO,,COXIM DO MOTOR ESQUERDO,MECÂNICA,x,,x,,
,,SUPORTE MOTOR ESQUERDO,MECÂNICA,X,,X,,
,,,,,,,16,#REF!
