Montadoras,Modelos 
Acura,Integra GS 1.8
,Legend 3.2/3.5
,NSX 3.0
AM Gen,Hummer Hard-Top 6.5 4x4 Diesel TB
,Hummer Open-Top 6.5 4x4 Diesel TB
,Hummer Wagon 6.5 4x4 Diesel TB
Audi,100 2.8 V6
,100 2.8 V6 Avant
,100 S-4 2.2 Avant Turbo
,80 2.0
,80 2.0 Avant
,80 2.6/ 2.8
,80 2.6/2.8 Avant
,80 2.8 Cabriolet
,80 S2 Avant
,A1 1.4 TFSI 122cv S-tronic 3p
,A1 2.0 TFSI Quattro 256cv 3p
,A1 Sport 1.4 TFSI 185cv 3p S-tronic
,A1 Sport. S Edition 1.4 TFSI 5p S-tronic
,A1 Sportback 1.4 TFSI 185cv 5p S-tronic
,A1 Sportback 1.4 TFSI 5p S-tronic
,A1 Sportback 1.8 TFSI 192cv 5p S-tronic
,A3 1.6 3p
,A3 1.6 3p Aut
,A3 1.6 5p
,A3 1.6 5p Aut
,A3 1.6 8V 102cv 3p
,A3 1.8 3p
,A3 1.8 3p Aut.
,A3 1.8 5p Aut.
,A3 1.8 5p Mec.
,A3 1.8 Turbo 180cv 3p Aut./ Tip.
,A3 1.8 Turbo 180cv 3p Mec.
,A3 1.8 Turbo 180cv 5p Aut./ Tip.
,A3 1.8 Turbo 180cv 5p Mec.
,A3 1.8 Turbo 3p Aut.
,A3 1.8 Turbo 3p Mec.
,A3 1.8 Turbo 5p Aut.
,A3 1.8 Turbo 5p Mec.
,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic
,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic
,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic
,A3 Sedan 1.4 TB FSI Flex Tiptronic 4p
,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic
,A3 Sport 1.8 16V TFSI S-Tronic 3p
,A3 Sport 2.0 16V TFSI S Tronic
,A3 Sportback 1.4 TFSI S-Tronic
,A3 Sportback 1.6 8V 102cv 5p
,A3 Sportback 1.8 16V TFSI S-Tronic 5p
,A3 Sportback 2.0 16V TFSI Mec.
,A3 Sportback 2.0 16V TFSI S-Tronic
,A4 1.8 Aut.
,A4 1.8 Mec.
,A4 1.8 Avant Aut.
,A4 1.8 Avant Mec.
,A4 1.8 Avant Turbo Mec.
,A4 1.8 Avant Turbo Tip./ Multitronic
,A4 1.8 Tip./ Multitronic Turbo
,A4 1.8 Turbo
,A4 2.0 16V TFSI 183/180cv Multitronic
,A4 2.0 16V TFSI 200/ 214cv Multitronic
,A4 2.0 16V TFSI Quattro Stronic
,A4 2.0 20V 130cv Multitronic 4p
,A4 2.0 Avant 16V TFSI Quattro Stronic
,A4 2.0 Avant Ambi. 2.0 16V TFSi S tronic
,A4 2.0 Avant TFSI 183/180cv Multitroni
,A4 2.0 Avant TFSI 200/214cv Multitron.
,A4 2.4 30V Avant Mec
,A4 2.4 30V Avant Tip./Multitronic
,A4 2.4 30V Mec
,A4 2.4 30V Tip./Multitronic
,A4 2.4 Avant V6 30V Quattro Mec
,A4 2.4 Avant V6 30V Quattro Tiptronic
,A4 2.4 V6 30V Quattro Mec
,A4 2.4 V6 30V Quattro Tiptronic
,A4 2.8
,A4 2.8 30V Tiptronic/ Aut.
,A4 2.8 30V Mec
,A4 2.8 Avant V6 12V
,A4 2.8 Avant V6 30V Mec.
,A4 2.8 Avant V6 30V Quattro Mec.
,A4 2.8 Avant V6 30V Quattro Tiptronic
,A4 2.8 Avant V6 30V Tiptronic
,A4 2.8 V6 30V Quattro Tiptronic
,A4 2.8 V6 30V Quattro Mec
,A4 3.0 30V 218cv Multitronic 4p
,A4 3.0 30V 218cv Quattro Tiptron./Aut 4p
,A4 3.0 Avant 30V 218cv Multitronic 5p
,A4 3.0 Avant 30V 218cv Quattro Tiptronic
,A4 3.0 Cabriolet 30V 218cv Multitronic
,A4 3.2 FSI 24V 255cv Multitronic
,A4 3.2 FSI 24V 269cv Quattro Tiptronic
,A4 3.2 FSI Avant 24V 255cv Multitronic
,A4 3.2 FSI Avant 24V Quattro S Tronic
,A4 3.2 FSI Cabriolet 24V 255cv Multitron
,A4 Ambiente 2.0 TFSI 190cv S tronic
,A4 Attraction 2.0 TFSI 190cv S tronic
,A4 Launch Edition 2.0 TFSI 190cv S troni
,A5 3.2 FSI 24V 269cv Multitronic
,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni
,A5 Cabriolet 2.0 TFSI Quattro Stronic
,A5 Coupê 2.0 TFSI Quattro Stronic
,A5 Sportb. 2.0 16V TFSI Quat. S-tronic
,A5 Sportback 1.8 TFSI 170cv Multi.
,A5 Sportback 2.0 16V TFSI 180cv Multi.
,A5 Sportback 2.0 16V TFSI 211cv Multi.
,A6 2.0 TFSI 252cv S tronic 4p
,A6 2.4 30V Mec
,A6 2.4 30V Tip./Multitronic
,A6 2.4 Avant 30V Mec.
,A6 2.4 Avant 30V Tip./ Multitronic
,A6 2.4 Avant V6 30V Quattro Mec.
,A6 2.4 Avant V6 30V Quattro Tiptronic
,A6 2.4 V6 30V Quattro Mec
,A6 2.4 V6 30V Quattro Tiptronic
,A6 2.7 30V Avant Tiptronic
,A6 2.7 30V Mec.
,A6 2.7 Avant Quattro Tiptronic
,A6 2.7 Quattro Tiptronic
,A6 2.8
,A6 2.8 30V Mec
,A6 2.8 30V Tiptronic
,A6 2.8 Avant
,A6 2.8 Avant 30V Mec
,A6 2.8 Avant 30V Tiptronic
,A6 2.8 Avant V6 30V Quattro Mec
,A6 2.8 Avant V6 30V Quattro Tiptronic
,A6 2.8 V6 30V Quattro Mec
,A6 2.8 V6 30V Quattro Tiptronic
,A6 3.0 Avant V6 30V 218cv Multitronic 5p
,A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p
,A6 3.0 Avant.TFSI V6 Quattro S tronic 5p
,A6 3.0 TB FSI V6 Quattro Tiptronic
,A6 3.0 TFSI V6 Quattro S tronic 4p
,A6 3.0 V6 30V 218cv Multitronic 4p
,A6 3.2 FSI 24V 255cv Multitronic
,A6 4.2 Avant Quattro Tiptronic
,A6 4.2 Quattro Tiptronic
,A6 Allroad 3.0 TFSI V6 Quattro S tronic
,A7 Sportback 2.0 TFSI S Tronic
,A7 Sportback 3.0 TFSI Quattro S Tronic
,A8 3.0 TFSI 310cv Quattro Tiptronic 4p
,A8 4.0 TFSI Quattro Tiptronic
,A8 4.2 Quattro Tiptronic
,A8 4.2 V8 32V Tiptronic
,A8 6.0 W12 48V 450cv Quattro Tiptronic
,A8 6.3 W12 48V Quattro Tiptronic
,Allroad 2.7 30V Quattro Turbo Tiptronic
,Avant RS2
,Q3 1.4 TFSI 150cv S-tronic 5p
,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p
,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p
,Q5 2.0 16V TFSI 225cv Quattro Tiptronic
,Q5 2.0 16V TFSI Quattro S Tronic
,Q5 3.0 V6 TFSI 272cv Quattro Tiptronic
,Q5 3.2 FSI V6 Quattro S Tronic
,Q7 3.0 V6 TFSI 333cv Quattro Tip. 5p
,Q7 3.6 V6 284cv Quattro Tiptronic
,Q7 4.2 V8 40V 350cv Quattro Tiptronic
